modelo,poisson_dev,mae_gols,acerto_exato,rps_1x2_implicito,rho
poisson_linear,1.20256,0.95076,0.13435,0.17229,-0.06078
histgb_poisson,1.22912,0.95728,0.13361,0.17532,-0.07507
